l.vid	l.showtimes	l.tag_id	l.shoot_type	l.shixiao	l.title	l.shexing	l.vv	l.vvtime	l.alltime	l.clicknum	l.play_rate	l.ctr	m.level
2017051609898290	427016	2	20	2017-09-29 23:59:59	感受下国产恐怖片的尴尬	NULL	84326	10600939	55841759	79413	0.189838916	0.185971954	3
6312568237393444865	367465	21	1	2017-10-12 23:59:59	情侣吵架女子当场脱衣 男友怕走光紧抱女友	1	123085	6598996	9579194	111561	0.688888439	0.303596261	NULL
2017051408918402	234141	5	20	1970-01-01 08:00:00	美女与洁癖处女男上床全过程，妹纸真的太饥渴了	NULL	61826	4389103	8097932	58094	0.542002946	0.248115452	3
6312917396558448641	227654	21	2	2017-09-11 16:34:50	警察问停车干啥，他说帮女友换内裤	1	75515	2666435	4407914	62078	0.604919924	0.272685742	6
2017062901118881	217483	400	20	2017-10-09 23:59:59	女生深夜拍室友睡觉，没想到看到了不该看的东西	NULL	45441	1236078	2126433	41547	0.581291769	0.191035621	1
2017051700793383	213964	5	20	2017-10-02 23:59:59	羞羞脸！澳大利亚猛男坚挺2个小时！	NULL	51076	7986658	24738807	48652	0.322839254	0.227384046	3
6312885702866503680	201051	21	2	2017-10-11 14:00:09	楼上“动静”有点大 楼下大伯受不了	NULL	56775	8524413	18503834	47614	0.460683608	0.236825482	5
6303991180162122753	189164	5	2	2017-09-19 23:59:59	长腿美女修车求助路人帮助，接下来看到这的一幕太惊讶了！	NULL	54788	2697820	4105499	52125	0.657123531	0.275554545	4
2017070403972553	180779	28	20	2017-11-28 23:59:59	曾陪宅男无数个夜晚的娃娃制作过程，首次披露！	NULL	53573	4426272	7785609	49887	0.568519688	0.275955725	1
2017062708758634	176122	400	20	2017-09-20 23:59:59	女生深夜拍室友睡觉，没想到看到了不该看的东西	NULL	39653	1420989	2012284	37270	0.706157282	0.211614676	2
138319896	166401	6	2	2017-12-12 23:59:59	美女这叫声也是没sei了。	1	54035	366630	644574	35480	0.568794273	0.213219872	1
2017062708526680	163331	5	20	1970-01-01 08:00:00	病人不配合治病，看看护士是怎么办的！	NULL	44328	1973832	2910258	42012	0.678232652	0.257220001	2
2017052805649611	160187	5	2	2017-09-12 11:42:11	什么样子叫猛男，看看这个外国妞的遭遇，是否有了启发#搞笑 #猎奇#	NULL	51082	2611928	3042557	45328	0.858464772	0.28296928	3
6303174665984698369	158782	5	2	2017-11-15 23:59:59	天太热了，女神非要拉我进玉米地里凉快一会儿！结局催人泪下！	NULL	25879	2222491	3801105	24261	0.584696029	0.152794397	4
6301004645292716033	147585	5	2	2017-11-09 23:59:59	看完这个视频后，我再也不想玩你猜猜我是谁的游戏了	NULL	30673	2342969	2893636	28433	0.809697211	0.19265508	3
6312528401190093824	145131	1	2	2017-10-10 14:16:05	她被称为“中国第一乳神”，上围惊人！靠身材上位身价过亿，200万保时捷仅代步	1	37489	1378607	1945973	34867	0.70844097	0.24024502	4
2017062809558320	141208	2	20	1970-01-01 08:00:00	最山寨的国产恐怖片！但是剧情居然和好莱坞一模一样！	NULL	35016	2321040	7755547	33541	0.299274829	0.237529035	1
6312302016215384065	131758	21	2	2017-09-13 23:59:59	大货车司机下车看到这幕，自己也崩贵了，这路人也是能怪谁呢	NULL	26617	1445217	1956766	24042	0.73857426	0.182470894	4
2017051509592531	127570	2	20	2017-12-31 23:59:59	几个小混混欺负一个捡垃圾的，谁知道功夫如此了得	NULL	31456	3176517	4758272	29435	0.667577852	0.230736066	4
6310754712203444224	127454	21	2	2017-09-14 23:59:59	可怕! !勇敢的兄弟们在犁田时抓住了附近的大毒蛇	NULL	28324	5833485	17263493	26899	0.33790873	0.211048692	4
